PLAYED BY, AMOUNT, SPECIAL_BET, USER_ID, GAME_TYPE, SCORE_A, SCORE_B, SPECIAL, RESULT, PROFIT
Nlyn#9170,5000,0,<@!257150485738422273>,BLACKJACK,19,19,None,PUSH,0
Nlyn#9170,5000,0,<@!257150485738422273>,BLACKJACK,11,24,None,WIN,-5000
Nlyn#9170,50000,-,<@!257150485738422273>,TOSS,TAILS,-,-,LOSE,50000
Nlyn#9170,1000,200,<@!257150485738422273>,BLACKJACK,20,23,None,WIN,-800
Nlyn#9170,100,100,<@!257150485738422273>,BLACKJACK,15,22,None,WIN,0
Nlyn#9170,5000,0,<@!257150485738422273>,BLACKJACK,29,7,None,LOSE,5000
Nlyn#9170,2000,200,<@!257150485738422273>,BLACKJACK,18,25,None,WIN,-1800
Nlyn#9170,200000,0,<@!257150485738422273>,BLACKJACK,16,22,None,WIN,-200000
Nlyn#9170,100,0,<@!257150485738422273>,BLACKJACK,13,17,None,LOSE,100
Nlyn#9170,100,0,<@!257150485738422273>,BLACKJACK,19,17,None,WIN,-100
Nlyn#9170,100,0,<@!257150485738422273>,BLACKJACK,23,5,None,LOSE,100
Nlyn#9170,100,0,<@!257150485738422273>,BLACKJACK,12,23,None,WIN,-100
Nlyn#9170,100,0,<@!257150485738422273>,BLACKJACK,21,10,None,WIN,-100
Nlyn#9170,100,0,<@!257150485738422273>,BLACKJACK,18,20,None,LOSE,100
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,5,18,None,LOSE,120
Nlyn#9170,100,0,<@!257150485738422273>,BLACKJACK,18,19,None,LOSE,100
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,15,19,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,16,22,None,WIN,-80
Nlyn#9170,10000,2000,<@!257150485738422273>,BLACKJACK,17,17,None,PUSH,2000
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,21,10,None,WIN,-80
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,21,3,None,WIN,-80
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,16,20,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,16,20,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,20,25,None,WIN,-80
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,20,18,None,WIN,-80
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,16,20,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,18,23,None,WIN,-80
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,17,21,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,13,20,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,16,18,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,12,22,None,WIN,-80
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,11,17,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,14,18,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,14,19,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,12,25,None,WIN,-80
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,19,22,None,WIN,-80
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,20,18,None,WIN,-80
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,14,20,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,19,20,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,20,25,None,WIN,-80
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,15,19,None,LOSE,120
Nlyn#9170,100,20,<@!257150485738422273>,BLACKJACK,13,20,Perfect Pair,LOSE,-380
Nlyn#9170,500,0,<@!257150485738422273>,BLACKJACK,20,17,None,WIN,-500
Nlyn#9170,500,0,<@!257150485738422273>,BLACKJACK,16,20,Colored Pair,LOSE,500
Nlyn#9170,500,0,<@!257150485738422273>,BLACKJACK,17,25,None,WIN,-500
Nlyn#9170,500,0,<@!257150485738422273>,BLACKJACK,19,19,None,PUSH,0
Nlyn#9170,500,0,<@!257150485738422273>,BLACKJACK,15,20,None,LOSE,500
Nlyn#9170,500,0,<@!257150485738422273>,BLACKJACK,12,25,None,WIN,-500
