Action,From,Username,UserId,Amount,Game,Date
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,102,BLACKJACK,Wed Oct  7 00:38:05 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,24,BLACKJACK,Wed Oct  7 00:38:05 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,102,BLACKJACK,Wed Oct  7 00:38:39 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,200,BLACKJACK,Wed Oct  7 00:38:39 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,102,BLACKJACK,Wed Oct  7 00:38:57 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,100,BLACKJACK,Wed Oct  7 00:38:57 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,102,BLACKJACK,Wed Oct  7 00:39:04 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,102,BLACKJACK,Wed Oct  7 00:45:06 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,200,BLACKJACK,Wed Oct  7 00:45:06 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,102,BLACKJACK,Wed Oct  7 00:45:26 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,200,BLACKJACK,Wed Oct  7 00:45:26 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,102,BLACKJACK,Wed Oct  7 00:45:41 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,200,BLACKJACK,Wed Oct  7 00:45:41 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,102,BLACKJACK,Wed Oct  7 00:45:52 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,200,BLACKJACK,Wed Oct  7 00:45:52 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,5000,BLACKJACK,Wed Oct  7 00:45:59 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,5000,BLACKJACK,Wed Oct  7 00:45:59 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,5000,BLACKJACK,Wed Oct  7 00:46:05 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,10000,BLACKJACK,Wed Oct  7 00:46:05 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,5000,BLACKJACK,Wed Oct  7 00:46:11 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,10000,BLACKJACK,Wed Oct  7 00:46:11 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,5000,BLACKJACK,Wed Oct  7 00:46:17 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,5000,BLACKJACK,Wed Oct  7 00:47:31 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,5000,BLACKJACK,Wed Oct  7 00:47:31 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,5000,BLACKJACK,Wed Oct  7 00:47:37 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,10000,BLACKJACK,Wed Oct  7 00:47:37 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,50000,TOSS,Wed Oct  7 00:47:56 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,1200,BLACKJACK,Wed Oct  7 00:48:22 2020
DEPOSIT,-,Nlyn#9170,<@!257150485738422273>,2000,BLACKJACK,Wed Oct  7 00:48:22 2020
WITHDRAW,-,Nlyn#9170,<@!257150485738422273>,50,TRANSFER,Wed Oct  7 01:07:15 2020
DEPOSIT,-,AYSparkles#6825,<@!290884973626392588>,50,TRANSFER,Wed Oct  7 01:07:15 2020
UBAL,Nlyn#9170,Nlyn#9170,<@!257150485738422273>,5000,-,Wed Oct  7 01:08:18 2020
